epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.3679,1.00566,3.35813,1.02479,0.00361,1,0.75805,0.63243,0.64988,3.19543,0.85422,0.00016,0.00016,0.00016
2,49.1272,0.88507,1.89914,0.97293,0.00361,1,0.86832,0.69499,0.76218,3.22748,0.88166,0.000336634,0.000336634,0.000336634
3,71.9365,0.95388,1.8783,0.96728,0.27411,0.92308,0.90742,0.65765,0.77607,3.08667,0.89883,0.000509704,0.000509704,0.000509704
4,94.4594,0.94304,1.5514,0.9729,0.88047,0.69231,0.85244,0.53614,0.92611,2.97917,1.00445,0.00067921,0.00067921,0.00067921
5,117.283,0.91026,1.38913,0.94768,0.86677,0.46154,0.56943,0.34385,0.94468,3.44346,1.11972,0.000845152,0.000845152,0.000845152
6,139.632,0.87711,1.33559,0.99555,0.99192,0.76923,0.76656,0.6447,0.80412,2.74667,0.8851,0.00100753,0.00100753,0.00100753
7,162.253,0.87578,1.46323,1.01314,0.84243,0.69231,0.76988,0.53633,0.99645,2.34925,0.96023,0.00116634,0.00116634,0.00116634
8,185.413,0.9374,1.3613,1.01719,0.76412,0.74877,0.74683,0.45483,1.20674,2.68651,1.11835,0.00132159,0.00132159,0.00132159
9,207.807,0.93978,1.39438,1.01757,0.87761,0.61538,0.68224,0.46164,1.12335,2.51127,1.18818,0.00147328,0.00147328,0.00147328
10,230.432,0.89226,1.1808,0.96891,0.81698,0.68724,0.72824,0.50035,0.99339,2.97529,0.99948,0.0016214,0.0016214,0.0016214
11,252.773,0.88473,1.24166,1.00996,0.54338,0.53846,0.55605,0.41904,1.05675,6.22835,1.06512,0.00176596,0.00176596,0.00176596
12,275.023,0.87511,1.12407,0.96851,0.08529,0.53846,0.13118,0.08233,1.02517,10.7676,1.07783,0.0017822,0.0017822,0.0017822
13,297.658,0.91901,1.12985,0.98167,0.12125,0.84615,0.12382,0.07154,1.18739,11.5715,1.10534,0.0017624,0.0017624,0.0017624
14,321.159,0.87334,1.0783,0.971,0.56787,0.53846,0.63694,0.47327,1.06669,2.98291,1.40108,0.0017426,0.0017426,0.0017426
15,343.418,0.83552,0.97871,0.9612,0.95665,0.92308,0.97289,0.67551,0.98698,1.70609,1.24009,0.0017228,0.0017228,0.0017228
16,365.954,0.83597,1.00841,0.97994,0.88384,0.76923,0.83037,0.54947,1.19535,1.8577,1.33076,0.001703,0.001703,0.001703
17,388.89,0.7982,0.88635,0.95752,0.95797,0.76923,0.86797,0.58,1.11204,2.66691,1.2311,0.0016832,0.0016832,0.0016832
18,411.799,0.86892,0.93707,0.97921,0.36455,0.69231,0.53425,0.28644,1.16545,5.47947,1.32056,0.0016634,0.0016634,0.0016634
19,434.472,0.85824,0.91315,0.98642,0.95066,0.69231,0.89323,0.65865,0.9489,2.28233,1.07626,0.0016436,0.0016436,0.0016436
20,456.844,0.84081,0.88586,0.99272,0.91821,1,0.99,0.80593,0.77586,1.03473,0.95816,0.0016238,0.0016238,0.0016238
21,479.473,0.81895,0.89629,0.99864,0.99673,1,0.995,0.7873,0.95593,1.06162,1.06922,0.001604,0.001604,0.001604
22,501.484,0.80093,0.78982,0.97038,0.99491,1,0.995,0.80065,0.86941,1.03632,1.0072,0.0015842,0.0015842,0.0015842
23,523.797,0.86086,0.87755,1.01124,0.9979,1,0.995,0.75423,0.9117,0.9679,0.97748,0.0015644,0.0015644,0.0015644
24,546.086,0.85504,0.8223,0.97628,0.79856,0.38462,0.48438,0.26889,1.66149,2.26733,1.39507,0.0015446,0.0015446,0.0015446
25,568.537,0.94817,0.76468,1.03312,0.78988,0.61538,0.63269,0.43382,1.15683,1.56173,1.21247,0.0015248,0.0015248,0.0015248
26,590.735,0.86488,0.7289,0.98479,1,0.76828,0.90413,0.67284,0.95446,1.14515,1.01289,0.001505,0.001505,0.001505
27,613.106,0.77587,0.70778,0.97363,1,0.91639,0.95344,0.7628,0.8144,0.9937,0.98694,0.0014852,0.0014852,0.0014852
28,635.419,0.79927,0.67456,0.95898,1,0.99881,0.995,0.82436,0.72846,0.85454,0.94296,0.0014654,0.0014654,0.0014654
29,657.781,0.79473,0.70338,0.9556,0.99625,1,0.995,0.8394,0.7785,0.80021,0.95471,0.0014456,0.0014456,0.0014456
