epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1636.61,0.81681,0.63881,0.94639,0.99745,1,0.995,0.83963,0.65224,0.57909,0.90077,0.000973861,0.000973861,0.000973861
44,1676.63,0.79703,0.69319,0.93405,0.99834,1,0.995,0.83674,0.65454,0.56505,0.89542,0.000957358,0.000957358,0.000957358
45,1718.18,0.79589,0.6283,0.92735,0.99778,1,0.995,0.8565,0.61634,0.55911,0.87954,0.000940855,0.000940855,0.000940855
46,1758.87,0.80559,0.64408,0.93968,0.99171,1,0.995,0.79357,0.76533,0.59357,0.93364,0.000924352,0.000924352,0.000924352
47,1799.5,0.81205,0.6598,0.9423,0.99912,1,0.995,0.84353,0.63274,0.53989,0.87632,0.000907848,0.000907848,0.000907848
48,1840.12,0.84617,0.61055,0.9392,0.99891,1,0.995,0.80672,0.7742,0.5487,0.92044,0.000891345,0.000891345,0.000891345
49,1880.63,0.79151,0.59372,0.93907,0.99832,1,0.995,0.82985,0.71156,0.55066,0.91577,0.000874842,0.000874842,0.000874842
50,1922.73,0.7981,0.57754,0.91244,0.99844,1,0.995,0.85443,0.60962,0.53566,0.88287,0.000858338,0.000858338,0.000858338
51,1964.49,0.74125,0.58164,0.91726,0.99788,1,0.995,0.85327,0.63575,0.5338,0.88436,0.000841835,0.000841835,0.000841835
52,2004.79,0.74735,0.57538,0.91826,0.99624,0.99975,0.995,0.8584,0.61998,0.51905,0.88206,0.000825332,0.000825332,0.000825332
53,2045.04,0.77347,0.56406,0.92726,0.99755,1,0.995,0.84674,0.64901,0.52058,0.89564,0.000808828,0.000808828,0.000808828
54,2085.16,0.75798,0.58908,0.93533,0.99836,1,0.995,0.86875,0.58252,0.51473,0.87692,0.000792325,0.000792325,0.000792325
55,2125.43,0.68797,0.54273,0.91833,0.99842,1,0.995,0.8701,0.56053,0.49339,0.87006,0.000775822,0.000775822,0.000775822
56,2165.78,0.7049,0.55633,0.92018,0.99871,1,0.995,0.87278,0.57807,0.49348,0.87242,0.000759318,0.000759318,0.000759318
57,2205.76,0.71868,0.52813,0.91047,0.99905,1,0.995,0.85411,0.60789,0.48816,0.88296,0.000742815,0.000742815,0.000742815
58,2245.65,0.69784,0.53929,0.8905,0.99818,1,0.995,0.85876,0.61891,0.49194,0.88844,0.000726312,0.000726312,0.000726312
59,2286.01,0.70131,0.53389,0.8944,0.99732,1,0.995,0.85161,0.62534,0.49383,0.8889,0.000709809,0.000709809,0.000709809
60,2326.04,0.7264,0.55078,0.89553,0.99681,1,0.995,0.85087,0.6307,0.49623,0.88519,0.000693305,0.000693305,0.000693305
61,2366.34,0.72249,0.52671,0.8851,0.99759,1,0.995,0.87355,0.56812,0.47807,0.86671,0.000676802,0.000676802,0.000676802
62,2406.31,0.70955,0.51728,0.90437,0.99726,1,0.995,0.83769,0.64865,0.48745,0.87892,0.000660299,0.000660299,0.000660299
63,2446.73,0.70175,0.48864,0.92038,0.99757,1,0.995,0.873,0.51993,0.45261,0.86233,0.000643795,0.000643795,0.000643795
64,2487.06,0.6995,0.50127,0.88967,0.9979,1,0.995,0.85645,0.59871,0.46566,0.87986,0.000627292,0.000627292,0.000627292
65,2527.01,0.66455,0.49453,0.88845,0.99717,0.99961,0.995,0.82533,0.68397,0.48884,0.89208,0.000610789,0.000610789,0.000610789
66,2567.33,0.72892,0.51767,0.92562,0.99784,0.99984,0.995,0.87445,0.53029,0.44749,0.85872,0.000594286,0.000594286,0.000594286
67,2607.59,0.70332,0.508,0.89497,0.99823,1,0.995,0.86365,0.57135,0.46392,0.86844,0.000577782,0.000577782,0.000577782
68,2647.84,0.72218,0.50617,0.90268,0.99617,0.99951,0.995,0.82065,0.72684,0.50689,0.90736,0.000561279,0.000561279,0.000561279
69,2688.21,0.71895,0.52237,0.88555,0.99722,0.99977,0.995,0.87936,0.53424,0.44657,0.85937,0.000544776,0.000544776,0.000544776
70,2728.35,0.70385,0.48157,0.89791,0.99767,1,0.995,0.89381,0.49955,0.42537,0.84992,0.000528272,0.000528272,0.000528272
71,2768.39,0.68578,0.49209,0.90122,0.99675,0.99891,0.995,0.80779,0.72751,0.48056,0.91321,0.000511769,0.000511769,0.000511769
72,2808.32,0.69281,0.51034,0.92402,0.99648,0.99895,0.995,0.81597,0.69985,0.47201,0.90018,0.000495266,0.000495266,0.000495266
73,2848.42,0.61065,0.4602,0.87772,0.99763,1,0.995,0.89315,0.5241,0.42498,0.85855,0.000478762,0.000478762,0.000478762
74,2888.56,0.6789,0.48861,0.91606,0.99884,1,0.995,0.86604,0.61045,0.44302,0.89051,0.000462259,0.000462259,0.000462259
75,2928.54,0.6775,0.48454,0.88173,0.99709,1,0.995,0.8441,0.66778,0.4581,0.90255,0.000445756,0.000445756,0.000445756
76,2968.12,0.68755,0.48708,0.87687,0.99737,1,0.995,0.86135,0.58852,0.42379,0.86719,0.000429253,0.000429253,0.000429253
77,3008.42,0.63345,0.47846,0.90535,0.99831,1,0.995,0.88301,0.51903,0.40518,0.85175,0.000412749,0.000412749,0.000412749
78,3048.57,0.62443,0.46344,0.91495,0.99823,1,0.995,0.89524,0.50307,0.39762,0.84761,0.000396246,0.000396246,0.000396246
79,3092.73,0.60832,0.45473,0.88766,0.99751,1,0.995,0.89067,0.5076,0.40326,0.84677,0.000379743,0.000379743,0.000379743
